periode_pengujian,nama_lokasi,parameter,satuan,nilai,indeks_pencemaran
Periode 1, Mampang Prapatan ,Zat Padat Terlarut,(mg/L),189,1.10
Periode 1, Mampang Prapatan ,Kekeruhan,NTU,1.3,1.10
Periode 1, Mampang Prapatan ,Besi (Fe),(mg/L),0.08,1.10
Periode 1, Mampang Prapatan ,Fluorida,(mg/L),0.06,1.10
Periode 1, Mampang Prapatan ,Total Hardness,(mg/L),152.27,1.10
Periode 1, Mampang Prapatan ,Chlorida,(mg/L),42.5,1.10
Periode 1, Mampang Prapatan ,Mangan (Mn),(mg/L),0.05,1.10
Periode 1, Mampang Prapatan ,Nitrat,(mg/L),2.79,1.10
Periode 1, Mampang Prapatan ,Nitrit,(mg/L),0.004,1.10
Periode 1, Mampang Prapatan ,Ph,(mg/L),8,1.10
Periode 1, Mampang Prapatan ,Seng (Zn),(mg/L),0.01,1.10
Periode 1, Mampang Prapatan ,Sulfat,(mg/L),18.72,1.10
Periode 1, Mampang Prapatan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.10
Periode 1, Mampang Prapatan ,Organik (KMnO4),(mg/L),0.63,1.10
Periode 1, Mampang Prapatan ,Suhu,(Celcius),23.2,1.10
Periode 1, Mampang Prapatan ,Bakteri Koli,(Jlm/100mL),100,1.10
Periode 1, Kuningan barat ,Zat Padat Terlarut,(mg/L),337,3.85
Periode 1, Kuningan barat ,Kekeruhan,NTU,2.6,3.85
Periode 1, Kuningan barat ,Besi (Fe),(mg/L),0.29,3.85
Periode 1, Kuningan barat ,Fluorida,(mg/L),0.1,3.85
Periode 1, Kuningan barat ,Total Hardness,(mg/L),340.91,3.85
Periode 1, Kuningan barat ,Chlorida,(mg/L),50.59,3.85
Periode 1, Kuningan barat ,Mangan (Mn),(mg/L),1.4,3.85
Periode 1, Kuningan barat ,Nitrat,(mg/L),0.35,3.85
Periode 1, Kuningan barat ,Nitrit,(mg/L),0.003,3.85
Periode 1, Kuningan barat ,Ph,(mg/L),8.4,3.85
Periode 1, Kuningan barat ,Seng (Zn),(mg/L),0.01,3.85
Periode 1, Kuningan barat ,Sulfat,(mg/L),31.44,3.85
Periode 1, Kuningan barat ,Senyawa Aktif Biru Metilen,(mg/L),0.11,3.85
Periode 1, Kuningan barat ,Organik (KMnO4),(mg/L),1.48,3.85
Periode 1, Kuningan barat ,Suhu,(Celcius),23.3,3.85
Periode 1, Kuningan barat ,Bakteri Koli,(Jlm/100mL),"8,4 x 104",3.85
Periode 1, Pela Mampang ,Zat Padat Terlarut,(mg/L),360,2.34
Periode 1, Pela Mampang ,Kekeruhan,NTU,3.5,2.34
Periode 1, Pela Mampang ,Besi (Fe),(mg/L),0.08,2.34
Periode 1, Pela Mampang ,Fluorida,(mg/L),0.19,2.34
Periode 1, Pela Mampang ,Total Hardness,(mg/L),363.64,2.34
Periode 1, Pela Mampang ,Chlorida,(mg/L),65.77,2.34
Periode 1, Pela Mampang ,Mangan (Mn),(mg/L),0.41,2.34
Periode 1, Pela Mampang ,Nitrat,(mg/L),1.34,2.34
Periode 1, Pela Mampang ,Nitrit,(mg/L),0.004,2.34
Periode 1, Pela Mampang ,Ph,(mg/L),7.9,2.34
Periode 1, Pela Mampang ,Seng (Zn),(mg/L),0.01,2.34
Periode 1, Pela Mampang ,Sulfat,(mg/L),36.92,2.34
Periode 1, Pela Mampang ,Senyawa Aktif Biru Metilen,(mg/L),0.04,2.34
Periode 1, Pela Mampang ,Organik (KMnO4),(mg/L),0.16,2.34
Periode 1, Pela Mampang ,Suhu,(Celcius),22.4,2.34
Periode 1, Pela Mampang ,Bakteri Koli,(Jlm/100mL),5 x 107,2.34
Periode 1, Guntur ,Zat Padat Terlarut,(mg/L),155,1.20
Periode 1, Guntur ,Kekeruhan,NTU,0.7,1.20
Periode 1, Guntur ,Besi (Fe),(mg/L),0.08,1.20
Periode 1, Guntur ,Fluorida,(mg/L),0.05,1.20
Periode 1, Guntur ,Total Hardness,(mg/L),127.27,1.20
Periode 1, Guntur ,Chlorida,(mg/L),29.46,1.20
Periode 1, Guntur ,Mangan (Mn),(mg/L),0.05,1.20
Periode 1, Guntur ,Nitrat,(mg/L),3.88,1.20
Periode 1, Guntur ,Nitrit,(mg/L),0.005,1.20
Periode 1, Guntur ,Ph,(mg/L),7.5,1.20
Periode 1, Guntur ,Seng (Zn),(mg/L),0.06,1.20
Periode 1, Guntur ,Sulfat,(mg/L),49.33,1.20
Periode 1, Guntur ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.20
Periode 1, Guntur ,Organik (KMnO4),(mg/L),1.24,1.20
Periode 1, Guntur ,Suhu,(Celcius),25.3,1.20
Periode 1, Guntur ,Bakteri Koli,(Jlm/100mL),2700,1.20
Periode 1, Menteng Atas ,Zat Padat Terlarut,(mg/L),290,1.91
Periode 1, Menteng Atas ,Kekeruhan,NTU,0.6,1.91
Periode 1, Menteng Atas ,Besi (Fe),(mg/L),0.08,1.91
Periode 1, Menteng Atas ,Fluorida,(mg/L),0.2,1.91
Periode 1, Menteng Atas ,Total Hardness,(mg/L),313.64,1.91
Periode 1, Menteng Atas ,Chlorida,(mg/L),23.37,1.91
Periode 1, Menteng Atas ,Mangan (Mn),(mg/L),0.19,1.91
Periode 1, Menteng Atas ,Nitrat,(mg/L),0.08,1.91
Periode 1, Menteng Atas ,Nitrit,(mg/L),0.006,1.91
Periode 1, Menteng Atas ,Ph,(mg/L),8.2,1.91
Periode 1, Menteng Atas ,Seng (Zn),(mg/L),0.04,1.91
Periode 1, Menteng Atas ,Sulfat,(mg/L),67.33,1.91
Periode 1, Menteng Atas ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.91
Periode 1, Menteng Atas ,Organik (KMnO4),(mg/L),1.45,1.91
Periode 1, Menteng Atas ,Suhu,(Celcius),24.9,1.91
Periode 1, Menteng Atas ,Bakteri Koli,(Jlm/100mL),4400,1.91
Periode 1, Pasar Manggis ,Zat Padat Terlarut,(mg/L),313,2.03
Periode 1, Pasar Manggis ,Kekeruhan,NTU,0.2,2.03
Periode 1, Pasar Manggis ,Besi (Fe),(mg/L),0.08,2.03
Periode 1, Pasar Manggis ,Fluorida,(mg/L),0.16,2.03
Periode 1, Pasar Manggis ,Total Hardness,(mg/L),254.55,2.03
Periode 1, Pasar Manggis ,Chlorida,(mg/L),58.42,2.03
Periode 1, Pasar Manggis ,Mangan (Mn),(mg/L),0.21,2.03
Periode 1, Pasar Manggis ,Nitrat,(mg/L),3.16,2.03
Periode 1, Pasar Manggis ,Nitrit,(mg/L),0.015,2.03
Periode 1, Pasar Manggis ,Ph,(mg/L),7.8,2.03
Periode 1, Pasar Manggis ,Seng (Zn),(mg/L),0.02,2.03
Periode 1, Pasar Manggis ,Sulfat,(mg/L),31.2,2.03
Periode 1, Pasar Manggis ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.03
Periode 1, Pasar Manggis ,Organik (KMnO4),(mg/L),2.29,2.03
Periode 1, Pasar Manggis ,Suhu,(Celcius),26.6,2.03
Periode 1, Pasar Manggis ,Bakteri Koli,(Jlm/100mL),"1,5 x 104",2.03
Periode 1, Setiabudi ,Zat Padat Terlarut,(mg/L),330,1.92
Periode 1, Setiabudi ,Kekeruhan,NTU,1.3,1.92
Periode 1, Setiabudi ,Besi (Fe),(mg/L),0.08,1.92
Periode 1, Setiabudi ,Fluorida,(mg/L),0.21,1.92
Periode 1, Setiabudi ,Total Hardness,(mg/L),329.55,1.92
Periode 1, Setiabudi ,Chlorida,(mg/L),136.6,1.92
Periode 1, Setiabudi ,Mangan (Mn),(mg/L),0.05,1.92
Periode 1, Setiabudi ,Nitrat,(mg/L),1.28,1.92
Periode 1, Setiabudi ,Nitrit,(mg/L),0.003,1.92
Periode 1, Setiabudi ,Ph,(mg/L),7.6,1.92
Periode 1, Setiabudi ,Seng (Zn),(mg/L),0.02,1.92
Periode 1, Setiabudi ,Sulfat,(mg/L),100.34,1.92
Periode 1, Setiabudi ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.92
Periode 1, Setiabudi ,Organik (KMnO4),(mg/L),1.24,1.92
Periode 1, Setiabudi ,Suhu,(Celcius),23.3,1.92
Periode 1, Setiabudi ,Bakteri Koli,(Jlm/100mL),"5,3 x 104",1.92
Periode 1, Karet ,Zat Padat Terlarut,(mg/L),223,1.24
Periode 1, Karet ,Kekeruhan,NTU,0.2,1.24
Periode 1, Karet ,Besi (Fe),(mg/L),0.08,1.24
Periode 1, Karet ,Fluorida,(mg/L),0.24,1.24
Periode 1, Karet ,Total Hardness,(mg/L),144.68,1.24
Periode 1, Karet ,Chlorida,(mg/L),5.57,1.24
Periode 1, Karet ,Mangan (Mn),(mg/L),0.05,1.24
Periode 1, Karet ,Nitrat,(mg/L),2.98,1.24
Periode 1, Karet ,Nitrit,(mg/L),0.005,1.24
Periode 1, Karet ,Ph,(mg/L),8.2,1.24
Periode 1, Karet ,Seng (Zn),(mg/L),0.02,1.24
Periode 1, Karet ,Sulfat,(mg/L),48.56,1.24
Periode 1, Karet ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.24
Periode 1, Karet ,Organik (KMnO4),(mg/L),0.78,1.24
Periode 1, Karet ,Suhu,(Celcius),23.1,1.24
Periode 1, Karet ,Bakteri Koli,(Jlm/100mL),0,1.24
Periode 1, Kuningan Timur ,Zat Padat Terlarut,(mg/L),126,1.13
Periode 1, Kuningan Timur ,Kekeruhan,NTU,0.9,1.13
Periode 1, Kuningan Timur ,Besi (Fe),(mg/L),0.08,1.13
Periode 1, Kuningan Timur ,Fluorida,(mg/L),0.13,1.13
Periode 1, Kuningan Timur ,Total Hardness,(mg/L),118.18,1.13
Periode 1, Kuningan Timur ,Chlorida,(mg/L),14.17,1.13
Periode 1, Kuningan Timur ,Mangan (Mn),(mg/L),0.14,1.13
Periode 1, Kuningan Timur ,Nitrat,(mg/L),1.33,1.13
Periode 1, Kuningan Timur ,Nitrit,(mg/L),0.008,1.13
Periode 1, Kuningan Timur ,Ph,(mg/L),7.8,1.13
Periode 1, Kuningan Timur ,Seng (Zn),(mg/L),0.02,1.13
Periode 1, Kuningan Timur ,Sulfat,(mg/L),31.24,1.13
Periode 1, Kuningan Timur ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.13
Periode 1, Kuningan Timur ,Organik (KMnO4),(mg/L),1.33,1.13
Periode 1, Kuningan Timur ,Suhu,(Celcius),23.3,1.13
Periode 1, Kuningan Timur ,Bakteri Koli,(Jlm/100mL),100,1.13
Periode 1, Karet Kuningan ,Zat Padat Terlarut,(mg/L),280,2.48
Periode 1, Karet Kuningan ,Kekeruhan,NTU,0.2,2.48
Periode 1, Karet Kuningan ,Besi (Fe),(mg/L),0.08,2.48
Periode 1, Karet Kuningan ,Fluorida,(mg/L),0.23,2.48
Periode 1, Karet Kuningan ,Total Hardness,(mg/L),323.4,2.48
Periode 1, Karet Kuningan ,Chlorida,(mg/L),49.58,2.48
Periode 1, Karet Kuningan ,Mangan (Mn),(mg/L),0.05,2.48
Periode 1, Karet Kuningan ,Nitrat,(mg/L),5.69,2.48
Periode 1, Karet Kuningan ,Nitrit,(mg/L),0.004,2.48
Periode 1, Karet Kuningan ,Ph,(mg/L),8.2,2.48
Periode 1, Karet Kuningan ,Seng (Zn),(mg/L),0.03,2.48
Periode 1, Karet Kuningan ,Sulfat,(mg/L),29.57,2.48
Periode 1, Karet Kuningan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.48
Periode 1, Karet Kuningan ,Organik (KMnO4),(mg/L),4.45,2.48
Periode 1, Karet Kuningan ,Suhu,(Celcius),21.6,2.48
Periode 1, Karet Kuningan ,Bakteri Koli,(Jlm/100mL),"3,1 x 106",2.48
Periode 1, KARET Semanggi ,Zat Padat Terlarut,(mg/L),280,2.32
Periode 1, KARET Semanggi ,Kekeruhan,NTU,1.7,2.32
Periode 1, KARET Semanggi ,Besi (Fe),(mg/L),0.08,2.32
Periode 1, KARET Semanggi ,Fluorida,(mg/L),0.18,2.32
Periode 1, KARET Semanggi ,Total Hardness,(mg/L),209.09,2.32
Periode 1, KARET Semanggi ,Chlorida,(mg/L),40.47,2.32
Periode 1, KARET Semanggi ,Mangan (Mn),(mg/L),0.05,2.32
Periode 1, KARET Semanggi ,Nitrat,(mg/L),3.09,2.32
Periode 1, KARET Semanggi ,Nitrit,(mg/L),0.605,2.32
Periode 1, KARET Semanggi ,Ph,(mg/L),6.6,2.32
Periode 1, KARET Semanggi ,Seng (Zn),(mg/L),0.01,2.32
Periode 1, KARET Semanggi ,Sulfat,(mg/L),34.57,2.32
Periode 1, KARET Semanggi ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.32
Periode 1, KARET Semanggi ,Organik (KMnO4),(mg/L),0.76,2.32
Periode 1, KARET Semanggi ,Suhu,(Celcius),22.7,2.32
Periode 1, KARET Semanggi ,Bakteri Koli,(Jlm/100mL),1 x 104,2.32
Periode 1, Menteng Dalam ,Zat Padat Terlarut,(mg/L),350,1.97
Periode 1, Menteng Dalam ,Kekeruhan,NTU,1.5,1.97
Periode 1, Menteng Dalam ,Besi (Fe),(mg/L),0.08,1.97
Periode 1, Menteng Dalam ,Fluorida,(mg/L),0.07,1.97
Periode 1, Menteng Dalam ,Total Hardness,(mg/L),359.09,1.97
Periode 1, Menteng Dalam ,Chlorida,(mg/L),32.51,1.97
Periode 1, Menteng Dalam ,Mangan (Mn),(mg/L),0.1,1.97
Periode 1, Menteng Dalam ,Nitrat,(mg/L),0.3,1.97
Periode 1, Menteng Dalam ,Nitrit,(mg/L),0.003,1.97
Periode 1, Menteng Dalam ,Ph,(mg/L),8.2,1.97
Periode 1, Menteng Dalam ,Seng (Zn),(mg/L),0.01,1.97
Periode 1, Menteng Dalam ,Sulfat,(mg/L),44.69,1.97
Periode 1, Menteng Dalam ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.97
Periode 1, Menteng Dalam ,Organik (KMnO4),(mg/L),2.01,1.97
Periode 1, Menteng Dalam ,Suhu,(Celcius),24.9,1.97
Periode 1, Menteng Dalam ,Bakteri Koli,(Jlm/100mL),4500,1.97
Periode 1, Kebon Baru ,Zat Padat Terlarut,(mg/L),208,1.27
Periode 1, Kebon Baru ,Kekeruhan,NTU,1.3,1.27
Periode 1, Kebon Baru ,Besi (Fe),(mg/L),0.08,1.27
Periode 1, Kebon Baru ,Fluorida,(mg/L),0.13,1.27
Periode 1, Kebon Baru ,Total Hardness,(mg/L),186.36,1.27
Periode 1, Kebon Baru ,Chlorida,(mg/L),48.77,1.27
Periode 1, Kebon Baru ,Mangan (Mn),(mg/L),0.05,1.27
Periode 1, Kebon Baru ,Nitrat,(mg/L),1.77,1.27
Periode 1, Kebon Baru ,Nitrit,(mg/L),0.003,1.27
Periode 1, Kebon Baru ,Ph,(mg/L),7.8,1.27
Periode 1, Kebon Baru ,Seng (Zn),(mg/L),0.06,1.27
Periode 1, Kebon Baru ,Sulfat,(mg/L),31.38,1.27
Periode 1, Kebon Baru ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.27
Periode 1, Kebon Baru ,Organik (KMnO4),(mg/L),1.17,1.27
Periode 1, Kebon Baru ,Suhu,(Celcius),23.4,1.27
Periode 1, Kebon Baru ,Bakteri Koli,(Jlm/100mL),100,1.27
Periode 1, Tebet Timur ,Zat Padat Terlarut,(mg/L),209,1.37
Periode 1, Tebet Timur ,Kekeruhan,NTU,0.8,1.37
Periode 1, Tebet Timur ,Besi (Fe),(mg/L),0.08,1.37
Periode 1, Tebet Timur ,Fluorida,(mg/L),0.12,1.37
Periode 1, Tebet Timur ,Total Hardness,(mg/L),204.55,1.37
Periode 1, Tebet Timur ,Chlorida,(mg/L),50.8,1.37
Periode 1, Tebet Timur ,Mangan (Mn),(mg/L),0.1,1.37
Periode 1, Tebet Timur ,Nitrat,(mg/L),1.75,1.37
Periode 1, Tebet Timur ,Nitrit,(mg/L),0.004,1.37
Periode 1, Tebet Timur ,Ph,(mg/L),7.8,1.37
Periode 1, Tebet Timur ,Seng (Zn),(mg/L),0.01,1.37
Periode 1, Tebet Timur ,Sulfat,(mg/L),35.61,1.37
Periode 1, Tebet Timur ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.37
Periode 1, Tebet Timur ,Organik (KMnO4),(mg/L),1.05,1.37
Periode 1, Tebet Timur ,Suhu,(Celcius),23.9,1.37
Periode 1, Tebet Timur ,Bakteri Koli,(Jlm/100mL),1700,1.37
Periode 1, Bukit Duri ,Zat Padat Terlarut,(mg/L),174,1.35
Periode 1, Bukit Duri ,Kekeruhan,NTU,0.9,1.35
Periode 1, Bukit Duri ,Besi (Fe),(mg/L),0.08,1.35
Periode 1, Bukit Duri ,Fluorida,(mg/L),0.06,1.35
Periode 1, Bukit Duri ,Total Hardness,(mg/L),159.09,1.35
Periode 1, Bukit Duri ,Chlorida,(mg/L),28.45,1.35
Periode 1, Bukit Duri ,Mangan (Mn),(mg/L),0.05,1.35
Periode 1, Bukit Duri ,Nitrat,(mg/L),4.2,1.35
Periode 1, Bukit Duri ,Nitrit,(mg/L),0.003,1.35
Periode 1, Bukit Duri ,Ph,(mg/L),7.5,1.35
Periode 1, Bukit Duri ,Seng (Zn),(mg/L),0.05,1.35
Periode 1, Bukit Duri ,Sulfat,(mg/L),34.02,1.35
Periode 1, Bukit Duri ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.35
Periode 1, Bukit Duri ,Organik (KMnO4),(mg/L),1.55,1.35
Periode 1, Bukit Duri ,Suhu,(Celcius),23.9,1.35
Periode 1, Bukit Duri ,Bakteri Koli,(Jlm/100mL),0,1.35
Periode 1, Manggarai ,Zat Padat Terlarut,(mg/L),155,1.16
Periode 1, Manggarai ,Kekeruhan,NTU,0.6,1.16
Periode 1, Manggarai ,Besi (Fe),(mg/L),0.08,1.16
Periode 1, Manggarai ,Fluorida,(mg/L),0.09,1.16
Periode 1, Manggarai ,Total Hardness,(mg/L),159.09,1.16
Periode 1, Manggarai ,Chlorida,(mg/L),12.19,1.16
Periode 1, Manggarai ,Mangan (Mn),(mg/L),0.05,1.16
Periode 1, Manggarai ,Nitrat,(mg/L),2.35,1.16
Periode 1, Manggarai ,Nitrit,(mg/L),0.003,1.16
Periode 1, Manggarai ,Ph,(mg/L),7.7,1.16
Periode 1, Manggarai ,Seng (Zn),(mg/L),0.06,1.16
Periode 1, Manggarai ,Sulfat,(mg/L),36.66,1.16
Periode 1, Manggarai ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.16
Periode 1, Manggarai ,Organik (KMnO4),(mg/L),1.11,1.16
Periode 1, Manggarai ,Suhu,(Celcius),23.5,1.16
Periode 1, Manggarai ,Bakteri Koli,(Jlm/100mL),0,1.16
Periode 1, Tebet Barat ,Zat Padat Terlarut,(mg/L),272,1.76
Periode 1, Tebet Barat ,Kekeruhan,NTU,0.4,1.76
Periode 1, Tebet Barat ,Besi (Fe),(mg/L),0.08,1.76
Periode 1, Tebet Barat ,Fluorida,(mg/L),0.2,1.76
Periode 1, Tebet Barat ,Total Hardness,(mg/L),286.36,1.76
Periode 1, Tebet Barat ,Chlorida,(mg/L),33.02,1.76
Periode 1, Tebet Barat ,Mangan (Mn),(mg/L),0.19,1.76
Periode 1, Tebet Barat ,Nitrat,(mg/L),0.77,1.76
Periode 1, Tebet Barat ,Nitrit,(mg/L),0.003,1.76
Periode 1, Tebet Barat ,Ph,(mg/L),7.6,1.76
Periode 1, Tebet Barat ,Seng (Zn),(mg/L),0.03,1.76
Periode 1, Tebet Barat ,Sulfat,(mg/L),60.14,1.76
Periode 1, Tebet Barat ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.76
Periode 1, Tebet Barat ,Organik (KMnO4),(mg/L),0.87,1.76
Periode 1, Tebet Barat ,Suhu,(Celcius),24.9,1.76
Periode 1, Tebet Barat ,Bakteri Koli,(Jlm/100mL),300,1.76
Periode 1, Manggarai Selatan ,Zat Padat Terlarut,(mg/L),300,1.77
Periode 1, Manggarai Selatan ,Kekeruhan,NTU,1.2,1.77
Periode 1, Manggarai Selatan ,Besi (Fe),(mg/L),0.08,1.77
Periode 1, Manggarai Selatan ,Fluorida,(mg/L),0.17,1.77
Periode 1, Manggarai Selatan ,Total Hardness,(mg/L),277.27,1.77
Periode 1, Manggarai Selatan ,Chlorida,(mg/L),45.72,1.77
Periode 1, Manggarai Selatan ,Mangan (Mn),(mg/L),0.05,1.77
Periode 1, Manggarai Selatan ,Nitrat,(mg/L),2.07,1.77
Periode 1, Manggarai Selatan ,Nitrit,(mg/L),0.003,1.77
Periode 1, Manggarai Selatan ,Ph,(mg/L),7.2,1.77
Periode 1, Manggarai Selatan ,Seng (Zn),(mg/L),0.02,1.77
Periode 1, Manggarai Selatan ,Sulfat,(mg/L),54.56,1.77
Periode 1, Manggarai Selatan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.77
Periode 1, Manggarai Selatan ,Organik (KMnO4),(mg/L),1.79,1.77
Periode 1, Manggarai Selatan ,Suhu,(Celcius),23.1,1.77
Periode 1, Manggarai Selatan ,Bakteri Koli,(Jlm/100mL),0,1.77
Periode 1, Cilandak Timur ,Zat Padat Terlarut,(mg/L),79.4,0.82
Periode 1, Cilandak Timur ,Kekeruhan,NTU,3.2,0.82
Periode 1, Cilandak Timur ,Besi (Fe),(mg/L),0.08,0.82
Periode 1, Cilandak Timur ,Fluorida,(mg/L),0.05,0.82
Periode 1, Cilandak Timur ,Total Hardness,(mg/L),87.5,0.82
Periode 1, Cilandak Timur ,Chlorida,(mg/L),9.92,0.82
Periode 1, Cilandak Timur ,Mangan (Mn),(mg/L),0.05,0.82
Periode 1, Cilandak Timur ,Nitrat,(mg/L),2.97,0.82
Periode 1, Cilandak Timur ,Nitrit,(mg/L),0.009,0.82
Periode 1, Cilandak Timur ,Ph,(mg/L),7,0.82
Periode 1, Cilandak Timur ,Seng (Zn),(mg/L),0.01,0.82
Periode 1, Cilandak Timur ,Sulfat,(mg/L),5.74,0.82
Periode 1, Cilandak Timur ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.82
Periode 1, Cilandak Timur ,Organik (KMnO4),(mg/L),0.26,0.82
Periode 1, Cilandak Timur ,Suhu,(Celcius),23.5,0.82
Periode 1, Cilandak Timur ,Bakteri Koli,(Jlm/100mL),0,0.82
Periode 1, Jati Padang ,Zat Padat Terlarut,(mg/L),278,1.74
Periode 1, Jati Padang ,Kekeruhan,NTU,0.3,1.74
Periode 1, Jati Padang ,Besi (Fe),(mg/L),0.08,1.74
Periode 1, Jati Padang ,Fluorida,(mg/L),0.24,1.74
Periode 1, Jati Padang ,Total Hardness,(mg/L),293.62,1.74
Periode 1, Jati Padang ,Chlorida,(mg/L),44.13,1.74
Periode 1, Jati Padang ,Mangan (Mn),(mg/L),0.05,1.74
Periode 1, Jati Padang ,Nitrat,(mg/L),4.99,1.74
Periode 1, Jati Padang ,Nitrit,(mg/L),0.009,1.74
Periode 1, Jati Padang ,Ph,(mg/L),7.2,1.74
Periode 1, Jati Padang ,Seng (Zn),(mg/L),0.03,1.74
Periode 1, Jati Padang ,Sulfat,(mg/L),30.18,1.74
Periode 1, Jati Padang ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.74
Periode 1, Jati Padang ,Organik (KMnO4),(mg/L),0.06,1.74
Periode 1, Jati Padang ,Suhu,(Celcius),23.5,1.74
Periode 1, Jati Padang ,Bakteri Koli,(Jlm/100mL),100,1.74
Periode 1, Kebagusan ,Zat Padat Terlarut,(mg/L),85,0.87
Periode 1, Kebagusan ,Kekeruhan,NTU,0.3,0.87
Periode 1, Kebagusan ,Besi (Fe),(mg/L),0.08,0.87
Periode 1, Kebagusan ,Fluorida,(mg/L),0.05,0.87
Periode 1, Kebagusan ,Total Hardness,(mg/L),59.57,0.87
Periode 1, Kebagusan ,Chlorida,(mg/L),28.27,0.87
Periode 1, Kebagusan ,Mangan (Mn),(mg/L),0.1,0.87
Periode 1, Kebagusan ,Nitrat,(mg/L),5.36,0.87
Periode 1, Kebagusan ,Nitrit,(mg/L),0.007,0.87
Periode 1, Kebagusan ,Ph,(mg/L),5.4,0.87
Periode 1, Kebagusan ,Seng (Zn),(mg/L),0.04,0.87
Periode 1, Kebagusan ,Sulfat,(mg/L),6.99,0.87
Periode 1, Kebagusan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.87
Periode 1, Kebagusan ,Organik (KMnO4),(mg/L),0.06,0.87
Periode 1, Kebagusan ,Suhu,(Celcius),23.5,0.87
Periode 1, Kebagusan ,Bakteri Koli,(Jlm/100mL),0,0.87
Periode 1, Pasar Minggui ,Zat Padat Terlarut,(mg/L),136,0.81
Periode 1, Pasar Minggui ,Kekeruhan,NTU,0.4,0.81
Periode 1, Pasar Minggui ,Besi (Fe),(mg/L),0.08,0.81
Periode 1, Pasar Minggui ,Fluorida,(mg/L),0.05,0.81
Periode 1, Pasar Minggui ,Total Hardness,(mg/L),127.66,0.81
Periode 1, Pasar Minggui ,Chlorida,(mg/L),24.79,0.81
Periode 1, Pasar Minggui ,Mangan (Mn),(mg/L),0.05,0.81
Periode 1, Pasar Minggui ,Nitrat,(mg/L),2.21,0.81
Periode 1, Pasar Minggui ,Nitrit,(mg/L),0.006,0.81
Periode 1, Pasar Minggui ,Ph,(mg/L),6.6,0.81
Periode 1, Pasar Minggui ,Seng (Zn),(mg/L),0.04,0.81
